Episode Id,Sample Method,Labeled Pool,Num of classification,Ratio,Accuracy
1,CS1,20,306,0.01,1.0
1,CS1,20,306,0.02,1.0
1,CS1,20,306,0.03,1.0
1,CS1,20,306,0.04,1.0
1,CS1,20,306,0.05,1.0
1,CS1,20,306,0.060000000000000005,1.0
1,CS1,20,306,0.06999999999999999,1.0
1,CS1,20,306,0.08,1.0
1,CS1,20,306,0.09,1.0
1,CS1,20,306,0.09999999999999999,1.0
1,CS1,20,306,0.11,1.0
1,CS1,20,306,0.12,1.0
1,CS1,20,306,0.13,1.0
1,CS1,20,306,0.14,1.0
1,CS1,20,306,0.15000000000000002,1.0
1,CS1,20,306,0.16,1.0
1,CS1,20,306,0.17,1.0
1,CS1,20,306,0.18000000000000002,1.0
1,CS1,20,306,0.19,1.0
1,CS1,20,306,0.2,1.0
1,CS1,20,306,0.21000000000000002,1.0
1,CS1,20,306,0.22,1.0
1,CS1,20,306,0.23,1.0
1,CS1,20,306,0.24000000000000002,1.0
1,CS1,20,306,0.25,1.0
1,CS1,20,306,0.26,1.0
1,CS1,20,306,0.27,1.0
1,CS1,20,306,0.28,1.0
1,CS1,20,306,0.29000000000000004,1.0
1,CS1,20,306,0.3,1.0
1,CS1,20,306,0.31,1.0
1,CS1,20,306,0.32,1.0
1,CS1,20,306,0.33,1.0
1,CS1,20,306,0.34,1.0
1,CS1,20,306,0.35000000000000003,1.0
1,CS1,20,306,0.36000000000000004,1.0
1,CS1,20,306,0.37,1.0
1,CS1,20,306,0.38,1.0
1,CS1,20,306,0.39,1.0
1,CS1,20,306,0.4,1.0
1,CS1,20,306,0.41000000000000003,1.0
1,CS1,20,306,0.42000000000000004,1.0
1,CS1,20,306,0.43,1.0
1,CS1,20,306,0.44,1.0
1,CS1,20,306,0.45,1.0
1,CS1,20,306,0.46,1.0
1,CS1,20,306,0.47000000000000003,1.0
1,CS1,20,306,0.48000000000000004,1.0
1,CS1,20,306,0.49,1.0
1,CS1,20,308,0.5,1.0
1,CS1,20,308,0.51,1.0
1,CS1,20,308,0.52,1.0
1,CS1,20,308,0.53,1.0
1,CS1,20,308,0.54,1.0
1,CS1,20,308,0.55,1.0
1,CS1,20,308,0.56,1.0
1,CS1,20,308,0.5700000000000001,1.0
1,CS1,20,308,0.5800000000000001,1.0
1,CS1,20,308,0.59,1.0
1,CS1,20,308,0.6,1.0
1,CS1,20,308,0.61,1.0
1,CS1,20,308,0.62,1.0
1,CS1,20,308,0.63,1.0
1,CS1,20,308,0.64,1.0
1,CS1,20,308,0.65,1.0
1,CS1,20,308,0.66,1.0
1,CS1,20,308,0.67,1.0
1,CS1,20,308,0.68,1.0
1,CS1,20,308,0.6900000000000001,1.0
1,CS1,20,308,0.7000000000000001,1.0
1,CS1,20,308,0.7100000000000001,1.0
1,CS1,20,308,0.72,1.0
1,CS1,20,308,0.73,1.0
1,CS1,20,308,0.74,1.0
1,CS1,20,323,0.75,1.0
1,CS1,20,323,0.76,1.0
1,CS1,20,323,0.77,1.0
1,CS1,20,323,0.78,1.0
1,CS1,20,323,0.79,1.0
1,CS1,20,323,0.8,1.0
1,CS1,20,323,0.81,1.0
1,CS1,20,323,0.8200000000000001,1.0
1,CS1,20,323,0.8300000000000001,1.0
1,CS1,20,323,0.8400000000000001,1.0
1,CS1,20,323,0.85,1.0
1,CS1,20,323,0.86,1.0
1,CS1,20,323,0.87,1.0
1,CS1,20,323,0.88,1.0
1,CS1,20,323,0.89,1.0
1,CS1,20,323,0.9,1.0
1,CS1,20,323,0.91,1.0
1,CS1,20,323,0.92,1.0
1,CS1,20,323,0.93,1.0
1,CS1,20,323,0.9400000000000001,1.0
1,CS1,20,323,0.9500000000000001,1.0
1,CS1,20,323,0.9600000000000001,1.0
1,CS1,20,323,0.97,1.0
1,CS1,20,323,0.98,1.0
1,CS1,20,323,0.99,1.0
