Episode Id,Sample Method,Labeled Pool,Num of classification,max_density,min_density,Accuracy
1,CS1,1000,12640,0.0,0.01,0.9955696202531645
1,CS1,1000,12640,0.0,0.02,0.9955696202531645
1,CS1,1000,12640,0.0,0.03,0.9955696202531645
1,CS1,1000,12640,0.0,0.04,0.9955696202531645
1,CS1,1000,12640,0.0,0.05,0.9955696202531645
1,CS1,1000,12640,0.0,0.060000000000000005,0.9955696202531645
1,CS1,1000,12640,0.0,0.06999999999999999,0.9955696202531645
1,CS1,1000,12640,0.0,0.08,0.9955696202531645
1,CS1,1000,12640,0.0,0.09,0.9955696202531645
1,CS1,1000,12640,0.0,0.09999999999999999,0.9955696202531645
1,CS1,1000,12640,0.0,0.11,0.9955696202531645
1,CS1,1000,12640,0.0,0.12,0.9955696202531645
1,CS1,1000,12640,0.0,0.13,0.9955696202531645
1,CS1,1000,12640,0.0,0.14,0.9955696202531645
1,CS1,1000,12640,0.0,0.15000000000000002,0.9955696202531645
1,CS1,1000,12640,0.0,0.16,0.9955696202531645
1,CS1,1000,12640,0.0,0.17,0.9955696202531645
1,CS1,1000,12640,0.0,0.18000000000000002,0.9955696202531645
1,CS1,1000,12640,0.0,0.19,0.9955696202531645
1,CS1,1000,12640,0.0,0.2,0.9955696202531645
1,CS1,1000,12640,0.0,0.21000000000000002,0.9955696202531645
1,CS1,1000,12640,0.0,0.22,0.9955696202531645
1,CS1,1000,12640,0.0,0.23,0.9955696202531645
1,CS1,1000,12640,0.0,0.24000000000000002,0.9955696202531645
1,CS1,1000,12640,0.0,0.25,0.9955696202531645
1,CS1,1000,12640,0.0,0.26,0.9955696202531645
1,CS1,1000,12640,0.0,0.27,0.9955696202531645
1,CS1,1000,12640,0.0,0.28,0.9955696202531645
1,CS1,1000,12640,0.0,0.29000000000000004,0.9955696202531645
1,CS1,1000,12640,0.0,0.3,0.9955696202531645
1,CS1,1000,12582,0.0,0.31,0.9955491972659355
1,CS1,1000,12582,0.0,0.32,0.9955491972659355
1,CS1,1000,12582,0.0,0.33,0.9955491972659355
1,CS1,1000,12582,0.0,0.34,0.9955491972659355
1,CS1,1000,12582,0.0,0.35000000000000003,0.9955491972659355
1,CS1,1000,12582,0.0,0.36000000000000004,0.9955491972659355
1,CS1,1000,12582,0.0,0.37,0.9955491972659355
1,CS1,1000,12582,0.0,0.38,0.9955491972659355
1,CS1,1000,12582,0.0,0.39,0.9955491972659355
1,CS1,1000,12582,0.0,0.4,0.9955491972659355
1,CS1,1000,12582,0.0,0.41000000000000003,0.9955491972659355
1,CS1,1000,12490,0.0,0.42000000000000004,0.9955964771817454
1,CS1,1000,12490,0.0,0.43,0.9955964771817454
1,CS1,1000,12490,0.0,0.44,0.9955964771817454
1,CS1,1000,12490,0.0,0.45,0.9955964771817454
1,CS1,1000,12490,0.0,0.46,0.9955964771817454
