Episode Id,Sample Method,Labeled Pool,Num of classification,Ratio,Accuracy
1,CS1,40,484,0.01,1.0
1,CS1,40,484,0.02,1.0
1,CS1,40,484,0.03,1.0
1,CS1,40,484,0.04,1.0
1,CS1,40,484,0.05,1.0
1,CS1,40,484,0.060000000000000005,1.0
1,CS1,40,484,0.06999999999999999,1.0
1,CS1,40,484,0.08,1.0
1,CS1,40,484,0.09,1.0
1,CS1,40,484,0.09999999999999999,1.0
1,CS1,40,484,0.11,1.0
1,CS1,40,484,0.12,1.0
1,CS1,40,484,0.13,1.0
1,CS1,40,484,0.14,1.0
1,CS1,40,484,0.15000000000000002,1.0
1,CS1,40,484,0.16,1.0
1,CS1,40,484,0.17,1.0
1,CS1,40,484,0.18000000000000002,1.0
1,CS1,40,484,0.19,1.0
1,CS1,40,484,0.2,1.0
1,CS1,40,484,0.21000000000000002,1.0
1,CS1,40,484,0.22,1.0
1,CS1,40,484,0.23,1.0
1,CS1,40,484,0.24000000000000002,1.0
1,CS1,40,484,0.25,1.0
1,CS1,40,484,0.26,1.0
1,CS1,40,484,0.27,1.0
1,CS1,40,484,0.28,1.0
1,CS1,40,484,0.29000000000000004,1.0
1,CS1,40,484,0.3,1.0
1,CS1,40,484,0.31,1.0
1,CS1,40,484,0.32,1.0
1,CS1,40,484,0.33,1.0
1,CS1,40,484,0.34,1.0
1,CS1,40,484,0.35000000000000003,1.0
1,CS1,40,484,0.36000000000000004,1.0
1,CS1,40,484,0.37,1.0
1,CS1,40,484,0.38,1.0
1,CS1,40,484,0.39,1.0
1,CS1,40,592,0.4,1.0
1,CS1,40,592,0.41000000000000003,1.0
1,CS1,40,592,0.42000000000000004,1.0
1,CS1,40,592,0.43,1.0
1,CS1,40,592,0.44,1.0
1,CS1,40,592,0.45,1.0
1,CS1,40,592,0.46,1.0
1,CS1,40,592,0.47000000000000003,1.0
1,CS1,40,592,0.48000000000000004,1.0
1,CS1,40,592,0.49,1.0
1,CS1,40,592,0.5,1.0
1,CS1,40,592,0.51,1.0
1,CS1,40,592,0.52,1.0
1,CS1,40,592,0.53,1.0
1,CS1,40,592,0.54,1.0
1,CS1,40,592,0.55,1.0
1,CS1,40,592,0.56,1.0
1,CS1,40,592,0.5700000000000001,1.0
1,CS1,40,592,0.5800000000000001,1.0
1,CS1,40,592,0.59,1.0
1,CS1,40,601,0.6,1.0
1,CS1,40,601,0.61,1.0
1,CS1,40,601,0.62,1.0
1,CS1,40,601,0.63,1.0
1,CS1,40,601,0.64,1.0
1,CS1,40,601,0.65,1.0
1,CS1,40,601,0.66,1.0
1,CS1,40,601,0.67,1.0
1,CS1,40,601,0.68,1.0
1,CS1,40,601,0.6900000000000001,1.0
1,CS1,40,601,0.7000000000000001,1.0
1,CS1,40,601,0.7100000000000001,1.0
1,CS1,40,601,0.72,1.0
1,CS1,40,601,0.73,1.0
1,CS1,40,601,0.74,1.0
1,CS1,40,601,0.75,1.0
1,CS1,40,601,0.76,1.0
1,CS1,40,601,0.77,1.0
1,CS1,40,601,0.78,1.0
1,CS1,40,601,0.79,1.0
1,CS1,40,624,0.8,1.0
1,CS1,40,624,0.81,1.0
1,CS1,40,624,0.8200000000000001,1.0
1,CS1,40,624,0.8300000000000001,1.0
1,CS1,40,624,0.8400000000000001,1.0
1,CS1,40,624,0.85,1.0
1,CS1,40,624,0.86,1.0
1,CS1,40,624,0.87,1.0
1,CS1,40,624,0.88,1.0
1,CS1,40,624,0.89,1.0
1,CS1,40,624,0.9,1.0
1,CS1,40,624,0.91,1.0
1,CS1,40,624,0.92,1.0
1,CS1,40,624,0.93,1.0
1,CS1,40,624,0.9400000000000001,1.0
1,CS1,40,624,0.9500000000000001,1.0
1,CS1,40,624,0.9600000000000001,1.0
1,CS1,40,624,0.97,1.0
1,CS1,40,624,0.98,1.0
1,CS1,40,624,0.99,1.0
2,CS1,80,0,0.99,0
3,CS1,120,0,0.99,0
4,CS1,160,0,0.99,0
5,CS1,200,0,0.99,0
6,CS1,240,0,0.99,0
7,CS1,280,0,0.99,0
8,CS1,320,0,0.99,0
9,CS1,360,0,0.99,0
10,CS1,400,0,0.99,0
11,CS1,440,0,0.99,0
12,CS1,480,0,0.99,0
13,CS1,520,0,0.99,0
14,CS1,560,0,0.99,0
15,CS1,600,0,0.99,0
16,CS1,640,0,0.99,0
17,CS1,680,0,0.99,0
18,CS1,720,0,0.99,0
19,CS1,760,0,0.99,0
20,CS1,800,0,0.99,0
21,CS1,840,0,0.99,0
22,CS1,880,0,0.99,0
23,CS1,920,0,0.99,0
24,CS1,960,0,0.99,0
25,CS1,1000,0,0.99,0
26,CNN,1000,58376,0,0.8305
26,CNN,1624,58376,0,0.8186
